2026-01-23T18:00:26.408010 | report_id=999999 | log_test
2026-01-23T18:00:50.106003 | report_id=186 | start
2026-01-23T18:00:50.168750 | report_id=186 | company_loaded
2026-01-23T18:00:50.169964 | report_id=186 | news_fetch_start
2026-01-23T18:00:51.301163 | report_id=186 | news_fetch_done
2026-01-23T18:00:51.302163 | report_id=186 | model_ready:models/gemini-2.0-flash
2026-01-23T18:00:51.355676 | report_id=186 | prompts_ready
2026-01-23T18:00:51.355676 | report_id=186 | generation_start
2026-01-23T18:00:51.475573 | report_id=186 | financials_failed:Insufficient DART financial years: 2 (need 3)
2026-01-23T18:01:09.721027 | report_id=186 | start
2026-01-23T18:01:09.780359 | report_id=186 | company_loaded
2026-01-23T18:01:09.781361 | report_id=186 | news_fetch_start
2026-01-23T18:01:10.313374 | report_id=186 | news_fetch_done
2026-01-23T18:01:10.313374 | report_id=186 | model_ready:models/gemini-2.0-flash
2026-01-23T18:01:10.373627 | report_id=186 | prompts_ready
2026-01-23T18:01:10.373627 | report_id=186 | generation_start
2026-01-23T18:01:10.470850 | report_id=186 | generation_done
2026-01-23T18:01:10.480146 | report_id=186 | md_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_186.md
2026-01-23T18:01:10.555997 | report_id=186 | docx_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_186.docx
2026-01-23T18:01:10.557915 | report_id=186 | done
2026-01-23T18:01:10.829316 | report_id=186 | financials_failed:Insufficient DART financial years: 2 (need 3)
2026-01-23T18:01:35.010156 | report_id=186 | generation_done
2026-01-23T18:01:35.015153 | report_id=186 | md_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_186.md
2026-01-23T18:01:35.097177 | report_id=186 | docx_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_186.docx
2026-01-23T18:01:35.100177 | report_id=186 | done
2026-01-23T19:17:43.362471 | report_id=999 | manual_test
2026-01-24T13:09:00.747625 | report_id=205 | start
2026-01-24T13:09:00.748635 | report_id=205 | report_service_version=2026-01-23-1900
2026-01-24T13:09:00.749635 | report_id=205 | company_loaded
2026-01-24T13:09:00.751495 | report_id=205 | news_fetch_start
2026-01-24T13:09:02.158957 | report_id=205 | news_fetch_done
2026-01-24T13:09:02.160469 | report_id=205 | model_ready:models/gemini-2.0-flash
2026-01-24T13:09:02.168839 | report_id=205 | prompts_ready
2026-01-24T13:09:02.169383 | report_id=205 | generation_start
2026-01-24T13:09:20.385815 | report_id=205 | raw_lengths:{'part1': 3402, 'part2': 3223, 'part3': 4847, 'part4': 2292}
2026-01-24T13:09:20.385815 | report_id=205 | generation_done
2026-01-24T13:09:20.388451 | report_id=205 | part_lengths:{'part1': 3257, 'part2': 3075, 'part3': 4606, 'part4': 2264}
2026-01-24T13:09:20.390963 | report_id=205 | md_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_205.md
2026-01-24T13:09:20.474303 | report_id=205 | docx_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_205.docx
2026-01-24T13:09:20.475809 | report_id=205 | done
2026-01-24T13:13:59.881352 | report_id=206 | start
2026-01-24T13:13:59.881352 | report_id=206 | report_service_version=2026-01-23-1900
2026-01-24T13:13:59.884478 | report_id=206 | company_loaded
2026-01-24T13:13:59.884993 | report_id=206 | news_fetch_start
2026-01-24T13:14:00.349898 | report_id=206 | news_fetch_done
2026-01-24T13:14:00.349898 | report_id=206 | model_ready:models/gemini-2.0-flash
2026-01-24T13:14:00.360843 | report_id=206 | prompts_ready
2026-01-24T13:14:00.360843 | report_id=206 | generation_start
2026-01-24T13:14:19.439798 | report_id=206 | raw_lengths:{'part1': 2911, 'part2': 3099, 'part3': 4810, 'part4': 2229}
2026-01-24T13:14:19.441300 | report_id=206 | generation_done
2026-01-24T13:14:19.443849 | report_id=206 | part_lengths:{'part1': 2816, 'part2': 2938, 'part3': 4606, 'part4': 2206}
2026-01-24T13:14:19.446447 | report_id=206 | md_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_206.md
2026-01-24T13:14:19.525553 | report_id=206 | docx_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_206.docx
2026-01-24T13:14:19.526600 | report_id=206 | done
2026-01-24T13:15:18.012690 | report_id=207 | start
2026-01-24T13:15:18.013192 | report_id=207 | report_service_version=2026-01-23-1900
2026-01-24T13:15:18.015212 | report_id=207 | company_loaded
2026-01-24T13:15:18.016743 | report_id=207 | news_fetch_start
2026-01-24T13:15:18.466994 | report_id=207 | news_fetch_done
2026-01-24T13:15:18.466994 | report_id=207 | model_ready:models/gemini-2.0-flash
2026-01-24T13:15:18.470926 | report_id=207 | prompts_ready
2026-01-24T13:15:18.470926 | report_id=207 | generation_start
2026-01-24T13:15:37.982850 | report_id=207 | raw_lengths:{'part1': 4277, 'part2': 3205, 'part3': 4662, 'part4': 2727}
2026-01-24T13:15:37.985094 | report_id=207 | generation_done
2026-01-24T13:15:37.990042 | report_id=207 | part_lengths:{'part1': 4119, 'part2': 3052, 'part3': 4460, 'part4': 2702}
2026-01-24T13:15:37.995105 | report_id=207 | md_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_207.md
2026-01-24T13:15:38.072670 | report_id=207 | docx_saved:C:\ProjectCode\stockmanager\artifacts\reports\report_207.docx
2026-01-24T13:15:38.073836 | report_id=207 | done
2026-01-24T13:24:10.990110 | report_id=208 | start
2026-01-24T13:24:10.991114 | report_id=208 | report_service_version=2026-01-23-1900
2026-01-24T13:24:10.993118 | report_id=208 | company_loaded
